probe	gene	location	loc_category
cg11035216	RASSF1	Body;5'UTR;TSS200	Promoter
cg11037424	PRPF6	1stExon;5'UTR	Promoter
cg11038843	B3GAT1	5'UTR	Promoter
cg11039072	ZNF770	TSS1500	Promoter
cg11041457	GNL3;PBRM1	TSS1500;5'UTR	Promoter
cg11041966	RBM28	TSS200	Promoter
cg11042320	PDGFRB	5'UTR	Promoter
cg11044163	CPVL	TSS200	Promoter
cg11044263	TMEM65	TSS200	Promoter
cg11044823	CENPK;PPWD1	TSS1500;5'UTR	Promoter
cg11047295	HMGB1	5'UTR	Promoter
cg11049298	HNRNPA0	1stExon	Promoter
cg11049305	ZC4H2	TSS1500	Promoter
cg11050116	PCM1	1stExon;5'UTR	Promoter
cg11050527	ATP6V1H	1stExon;5'UTR	Promoter
cg11051139	KRT80	Body	Body
cg11051158	C2orf3	TSS200	Promoter
cg11051843	SEMA3C	TSS200	Promoter
cg11052068	WASF1;CDC40	Body;TSS1500	Promoter
cg11052143	ALS2CR11	TSS200	Promoter
cg11053574	NT5C3L	1stExon	Promoter
cg11053740	RAB2B;TOX4	TSS1500;TSS200	Promoter
cg11054882	RPS25;TRAPPC4	TSS1500;1stExon	Promoter
cg11054936	GJB2	5'UTR	Promoter
cg11056832	PKN3	1stExon;5'UTR	Promoter
cg11057497	HMGCS1	5'UTR	Promoter
cg11058696	SNRPB2	5'UTR	Promoter
cg11058932	TSGA13	TSS1500	Promoter
cg11059483	ESR2	1stExon;5'UTR	Promoter
cg11061603	RPS10	5'UTR	Promoter
cg11062095	C5orf15	TSS1500	Promoter
cg11063110	CPA5	5'UTR	Promoter
cg11063988	SIX5	TSS200	Promoter
cg11064206	ABCB9;OGFOD2	1stExon;5'UTR	Promoter
cg11064558	ZNF295	1stExon;5'UTR	Promoter
cg11064797	HDAC3;RELL2	TSS1500;1stExon;5'UTR	Promoter
cg11065385	B4GALNT3	TSS1500	Promoter
cg11065518	MDH1B;FASTKD2	TSS1500;5'UTR;1stExon	Promoter
cg11070941	STX11	5'UTR	Promoter
cg11072113	VWCE	TSS1500	Promoter
cg11074362	DENND4C	Body	Body
cg11074746	MEMO1	TSS1500	Promoter
cg11075556	ANKRD7	Body	Body
cg11075745	CLDN19	TSS200	Promoter
cg11077161	SIPA1L1	1stExon;5'UTR	Promoter
cg11078738	ANTXR1	1stExon;5'UTR	Promoter
cg11079619	INHBA;LOC285954	Body;1stExon;5'UTR	Promoter
cg11081833	LGALS2	1stExon;5'UTR	Promoter
cg11082575	FAM60A	1stExon;5'UTR	Promoter
cg11084020	TAX1BP1	TSS200	Promoter
cg11084035	GANAB	1stExon	Promoter
cg11086066	NFATC2	Body;TSS1500	Promoter
cg11086568	FBXO45;WDR53	TSS1500;1stExon	Promoter
cg11091262	GALNTL5	TSS200	Promoter
cg11093356	DDX19A	TSS1500	Promoter
cg11094938	ATP2A1	TSS1500	Promoter
cg11095315	PABPN1	TSS1500	Promoter
cg11096640	ACTR3B	Body	Body
cg11096993	ACY3	5'UTR	Promoter
cg11099291	C17orf91;WDR81	Body;TSS1500;5'UTR	Promoter
cg11099899	CLDN14	1stExon;5'UTR	Promoter
cg11100802	TRIM52	1stExon;5'UTR	Promoter
cg11102782	ISYNA1	TSS1500;TSS200	Promoter
cg11102794	LMO1	TSS200	Promoter
cg11104347	DUSP23	5'UTR	Promoter
cg11105610	LGALS3BP	TSS1500	Promoter
cg11107205	RCL1	Body	Body
cg11108432	PINX1	TSS1500	Promoter
cg11109684	RAB10	1stExon;5'UTR	Promoter
cg11110686	MAGEC1	1stExon;5'UTR	Promoter
cg11115702	SPNS1	Body;1stExon	Promoter
cg11116142	CRBN	1stExon	Promoter
cg11117707	ARSG;SLC16A6	TSS1500;5'UTR	Promoter
cg11118665	TCFL5	TSS1500	Promoter
cg11119131	CCDC99	1stExon;5'UTR	Promoter
cg11119596	CD96	1stExon;5'UTR	Promoter
cg11126134	C13orf33	TSS200	Promoter
cg11126313	CCR3	5'UTR	Promoter
cg11128808	CACNG6	1stExon;5'UTR	Promoter
cg11129291	DARS	Body	Body
cg11130441	C2orf58	TSS200	Promoter
cg11132751	CXorf67	1stExon	Promoter
cg11136251	ZWILCH;RPL4	TSS1500;TSS200	Promoter
cg11136562	ARAP3	5'UTR	Promoter
cg11140307	CMTM4	1stExon	Promoter
cg11140785	ZNF264	1stExon	Promoter
cg11141013	ZNF688	Body;1stExon;5'UTR	Promoter
cg11141561	CAMLG	1stExon	Promoter
cg11142466	KRCC1	TSS1500	Promoter
cg11147193	HPCAL1	TSS1500	Promoter
cg11147886	NFAT5	TSS1500	Promoter
cg11151811	PRKAG1	Body;5'UTR	Promoter
cg11151820	FAM173B;CCT5	TSS200	Promoter
cg11154542	CTSL1	TSS1500	Promoter
cg11154798	RAI14	1stExon;TSS200;5'UTR	Promoter
cg11154879	C20orf151	5'UTR	Promoter
cg11157872	RSRC2;KNTC1	Body;TSS1500;5'UTR	Promoter
cg11158374	TFF2	TSS1500	Promoter
cg11158430	UTS2D	5'UTR	Promoter
cg11158440	STX10;IER2	TSS1500;5'UTR	Promoter
cg11158729	CNNM4	1stExon	Promoter
cg11158760	FHIT	TSS200	Promoter
cg11160386	MDM1	Body	Body
cg11160820	CD58	Body;1stExon;5'UTR	Promoter
cg11161417	SPACA3	Body	Body
cg11164400	PPP1R9A	TSS200	Promoter
cg11166252	AHR	TSS200	Promoter
cg11166823	AGPAT3	TSS1500	Promoter
cg11166999	PAR-SN;SNORD107	TSS1500	Promoter
cg11170179	KLK10	5'UTR	Promoter
cg11170796	TCF3	Body;1stExon	Promoter
cg11171719	CTDSPL	1stExon;5'UTR	Promoter
cg11172196	TMEM65	1stExon;5'UTR	Promoter
cg11172299	C14orf142;UBR7	Body;TSS1500	Promoter
cg11172423	CLDN19	1stExon	Promoter
cg11173246	POLR2L;TSPAN4	Body;TSS1500	Promoter
cg11175310	RSU1	5'UTR	Promoter
cg11175476	LRP6	Body	Body
cg11175477	RAD9B;VPS29	TSS200	Promoter
cg11177404	SNAR-G2;CGB2	TSS200	Promoter
cg11177450	SENP5	TSS1500	Promoter
cg11177693	PPM1G;ZNF513	TSS1500;3'UTR	Promoter
cg11177955	AIDA;C1orf58	TSS1500;5'UTR	Promoter
cg11178136	KIAA0652;HARBI1	Body;TSS1500	Promoter
cg11178443	RANGRF;SLC25A35	1stExon;3'UTR;5'UTR	Promoter
cg11184091	DOLPP1	Body	Body
cg11185452	SLC39A9;ERH	TSS1500;TSS200	Promoter
cg11185569	CHN2	1stExon;5'UTR	Promoter
cg11187508	CWF19L1	1stExon	Promoter
cg11189434	RPL5	Body	Body
cg11189837	ADAMTS1	TSS1500	Promoter
cg11191210	VGLL2	TSS1500	Promoter
cg11191337	PLTP	TSS1500	Promoter
cg11193041	POMT2;GSTZ1	Body;TSS1500;5'UTR	Promoter
cg11194725	CBX1	1stExon;5'UTR	Promoter
cg11195002	ICAM5	TSS1500	Promoter
cg11195662	PRUNE2	Body	Body
cg11196870	GINS4	1stExon;5'UTR	Promoter
cg11197066	PGAP1	1stExon	Promoter
cg11199399	LTBP1	1stExon	Promoter
cg11200929	CRABP1	1stExon;5'UTR	Promoter
cg11201229	PIK3C2A	1stExon	Promoter
cg11201288	LRRC40;SFRS11	Body;TSS1500	Promoter
cg11201532	MFNG	Body;1stExon	Promoter
cg11203041	MGST1	TSS1500;5'UTR	Promoter
cg11204562	C10orf81	TSS200	Promoter
cg11206634	SFT2D3	TSS200	Promoter
cg11206667	FBXO36;TRIP12	TSS1500;5'UTR	Promoter
cg11206763	ESYT1	TSS1500	Promoter
cg11207379	TDG	TSS200	Promoter
cg11208235	BCAR3	TSS200	Promoter
cg11208880	LRRC8D	TSS1500;5'UTR	Promoter
cg11212312	IL3	TSS1500	Promoter
cg11212609	C17orf81;DULLARD	TSS1500;1stExon;5'UTR;TSS200	Promoter
cg11213150	RALGPS1;ANGPTL2	Body;5'UTR	Promoter
cg11214889	CLUL1	1stExon;5'UTR	Promoter
cg11216616	RAB35	TSS1500	Promoter
cg11220060	KLF1	Body	Body
cg11220635	RDH11	TSS200	Promoter
cg11221132	CYP2D7P1	Body	Body
cg11221265	SDHC;LOC642502	Body	Body
cg11221508	ZNF830;CCT6B	TSS1500;1stExon	Promoter
cg11222041	TOR1A	1stExon	Promoter
cg11223252	RNF103	TSS1500	Promoter
cg11223864	GNB2	TSS200	Promoter
cg11225410	SOCS2	5'UTR	Promoter
cg11225935	CCDC77;KDM5A	1stExon;TSS200;5'UTR	Promoter
cg11226328	EPB41	TSS1500	Promoter
cg11227541	SPATA1;GNG5	5'UTR;TSS200	Promoter
cg11228872	CALR	TSS200	Promoter
cg11231018	LIPF	TSS1500	Promoter
cg11233153	SLC10A3	1stExon;5'UTR	Promoter
cg11233228	CDC26;PRPF4	TSS1500;5'UTR	Promoter
cg11233384	AKR7A3	TSS1500	Promoter
cg11234457	FTMT	TSS200	Promoter
cg11235426	DUSP22	1stExon;5'UTR	Promoter
cg11235871	QARS1	1stExon	Promoter
cg11236244	MAGEA12;CSAG1	Body;TSS1500	Promoter
cg11237115	KLHL24	1stExon;5'UTR	Promoter
cg11237738	C4orf6	Body	Body
cg11237883	STYXL1;MDH2	1stExon;TSS200;5'UTR	Promoter
cg11238505	CYHR1;KIFC2	TSS1500;5'UTR;1stExon	Promoter
cg11241627	FERD3L	TSS200	Promoter
cg11243196	ADAMTS3	TSS1500	Promoter
cg11245384	PDYN	1stExon;5'UTR	Promoter
cg11246695	PIAS3	1stExon;5'UTR	Promoter
cg11248413	NEUROG1	TSS200	Promoter
cg11248491	CYTH3	TSS1500	Promoter
cg11250247	TBP	5'UTR	Promoter
cg11251086	DUSP11	1stExon	Promoter
cg11251858	ESR1	1stExon;5'UTR	Promoter
cg11254522	FGR	Body	Body
cg11255163	CDH1	1stExon;5'UTR	Promoter
cg11255230	BCL2	TSS1500	Promoter
cg11256445	HCLS1	TSS1500	Promoter
cg11260422	FOXA1	1stExon	Promoter
cg11260848	ALX4	Body	Body
cg11261264	PTPRH	Body	Body
cg11262815	CACNA1G	1stExon;5'UTR	Promoter
cg11262874	ZNF681	TSS200	Promoter
cg11263296	CCDC64	Body	Body
cg11263497	WDR35	TSS1500	Promoter
cg11263584	ICT1	TSS200	Promoter
cg11264817	INCA1;KIF1C	TSS1500;5'UTR	Promoter
cg11265916	MAPK1	Body	Body
cg11266874	ARL13B	Body	Body
cg11269533	FEV	1stExon;5'UTR	Promoter
cg11271605	STEAP4	TSS200	Promoter
cg11272332	ZDHHC15	1stExon	Promoter
cg11274211	PIP5K1B;FAM122A	1stExon;5'UTR	Promoter
cg11276198	KRAS	TSS1500	Promoter
cg11276280	TBCC	1stExon	Promoter
cg11277230	C4orf36	TSS1500	Promoter
cg11278262	KRTCAP2;TRIM46	Body;TSS1500	Promoter
cg11279021	ETV1	5'UTR	Promoter
cg11285003	HCN1	TSS1500	Promoter
cg11285843	TMEM41A	TSS1500	Promoter
cg11286122	PHLDB1	TSS1500;5'UTR	Promoter
cg11286163	PSMA5	TSS200	Promoter
cg11286618	WBP1	TSS200	Promoter
cg11289251	DDX28;DUS2L	TSS1500;1stExon	Promoter
cg11290225	KIFC2	Body	Body
cg11291009	ARHGEF9	TSS200	Promoter
cg11291200	MAGEB2	TSS200	Promoter
cg11295113	FOLR2	1stExon;5'UTR	Promoter
cg11295902	SF1	TSS200	Promoter
cg11296363	FTSJ3;PSMC5	Body;1stExon;5'UTR	Promoter
cg11296937	TRMT112;PRDX5	TSS1500;1stExon	Promoter
cg11297236	PDILT	TSS1500	Promoter
cg11298412	PARM1	Body	Body
cg11298616	CKAP2	Body	Body
cg11299964	MAPKAP1	TSS1500	Promoter
cg11300809	SGPP2	TSS1500	Promoter
cg11303670	TSPAN33	TSS1500	Promoter
cg11303749	HIST1H4B	1stExon	Promoter
cg11304234	IL18	1stExon;5'UTR	Promoter
cg11304524	TSSK4	TSS200	Promoter
cg11308840	TMEM215	1stExon;5'UTR	Promoter
cg11310496	PNLIPRP2	TSS1500	Promoter
cg11310692	PEX7	TSS200	Promoter
cg11311499	MSH2	Body	Body
cg11312566	SLC2A8	TSS200	Promoter
cg11313124	ZMAT3	5'UTR	Promoter
cg11313997	B4GALT7	Body	Body
cg11314292	RNF125	TSS200	Promoter
cg11314684	AKT3	Body	Body
cg11316784	NSD1	TSS1500;5'UTR	Promoter
cg11319389	TOX2	Body;TSS200	Promoter
cg11320084	RNF2	TSS1500	Promoter
cg11320143	WDR3;GDAP2	5'UTR;TSS200	Promoter
cg11321895	PLAG1;CHCHD7	TSS1500;1stExon;5'UTR	Promoter
cg11323198	CDH8	5'UTR	Promoter
cg11323230	AMFR	1stExon	Promoter
cg11323731	AKR1A1	1stExon;5'UTR	Promoter
cg11324740	NUSAP1;OIP5	1stExon;5'UTR;TSS200	Promoter
cg11325578	GPR143	Body	Body
cg11326613	CCDC107	TSS1500	Promoter
cg11328149	LY6G6C	1stExon;5'UTR	Promoter
cg11328875	PPIL5	Body	Body
cg11329235	SRRM1	TSS1500	Promoter
cg11330108	BCL2	5'UTR	Promoter
cg11332950	AHSA2	TSS1500	Promoter
cg11336428	TEX2	5'UTR	Promoter
cg11337525	APOC1	Body	Body
cg11340260	GP1BA	TSS200	Promoter
cg11341528	CASD1	1stExon	Promoter
cg11353032	ZRSR2	TSS200	Promoter
cg11354906	SFRP2	TSS200	Promoter
cg11356290	AZI2	TSS1500	Promoter
cg11356705	NUP54	1stExon;5'UTR	Promoter
cg11360718	TM9SF4	Body	Body
cg11360768	WHSC1L1	1stExon;5'UTR	Promoter
cg11366015	C20orf27	5'UTR	Promoter
cg11368509	SUV420H2	5'UTR	Promoter
cg11368578	CDK5	1stExon;5'UTR	Promoter
cg11368643	PCDHB15	TSS200	Promoter
cg11368791	WDR46;PFDN6	TSS1500;1stExon;5'UTR	Promoter
cg11371160	UBL4A	Body	Body
cg11371394	TGFBRAP1	TSS1500	Promoter
cg11372696	POLR2G	TSS200	Promoter
cg11373429	ICAM5	1stExon	Promoter
cg11373746	ALDH9A1	TSS1500	Promoter
cg11375079	SCARNA13;GLRX5;SNHG10	TSS1500;TSS200	Promoter
cg11375102	IFT140;TMEM204	Body;TSS1500	Promoter
cg11375475	BBC3	Body;1stExon;5'UTR	Promoter
cg11375622	HSF1;BOP1	Body;TSS1500	Promoter
cg11376198	AKR7L	TSS200	Promoter
cg11377136	PKDREJ	1stExon	Promoter
cg11378052	HEATR4	TSS1500	Promoter
cg11378484	THOC7	Body	Body
cg11378686	ZNF318	Body	Body
cg11378840	HHEX	1stExon	Promoter
cg11380128	PRLH	TSS1500	Promoter
cg11380624	DNAJC14	5'UTR	Promoter
cg11385473	IMMP1L;ELP4	TSS1500;5'UTR	Promoter
cg11387131	KCNJ5	TSS200	Promoter
cg11387519	MRPL53;CCDC142	3'UTR;TSS200	Promoter
cg11389172	SLC18A3;CHAT	5'UTR;TSS200	Promoter
cg11390468	IFT57	Body	Body
cg11391732	HSPB3	1stExon	Promoter
cg11392765	NKX3-2	TSS1500	Promoter
cg11393453	FAM59A	1stExon	Promoter
cg11393848	C1QC	TSS1500	Promoter
cg11394644	C17orf80;FAM104A	TSS1500;5'UTR	Promoter
cg11394785	LTC4S	1stExon	Promoter
cg11395917	PLEKHB2	1stExon;5'UTR	Promoter
cg11396509	NFKBIB;SIRT2	Body;TSS1500;5'UTR	Promoter
cg11397854	IQSEC1	Body	Body
cg11398517	GTSF1L	1stExon;5'UTR	Promoter
cg11398680	PTK2	TSS1500	Promoter
cg11399100	TMEM59L	TSS1500	Promoter
cg11399527	PDP2	1stExon;5'UTR	Promoter
cg11399891	ZNF444	TSS1500	Promoter
cg11400333	TMEM151A	Body	Body
cg11402505	FBXO27	TSS1500	Promoter
cg11405695	ATAD3C	TSS1500	Promoter
cg11406340	C10orf110;IDI2	Body;5'UTR	Promoter
cg11407345	C21orf58;PCNT	Body;TSS1500	Promoter
cg11408517	LATS1	TSS200	Promoter
cg11411707	GABPB2	1stExon;5'UTR	Promoter
cg11412582	HERC2	TSS1500	Promoter
cg11414046	BRAF	Body	Body
cg11415932	POLB	1stExon;5'UTR	Promoter
cg11416386	DPY19L3	1stExon;5'UTR	Promoter
cg11418559	GRRP1	Body	Body
cg11419863	MRPL49;FAU	Body;TSS1500	Promoter
cg11422541	ADCY6	5'UTR	Promoter
cg11426590	TRIM62	TSS200	Promoter
cg11428724	PAX7	1stExon;5'UTR	Promoter
cg11429632	RAB14	TSS1500	Promoter
cg11429658	ABCC13	Body	Body
cg11431126	RHOU	TSS200	Promoter
cg11434468	XKR6	TSS1500	Promoter
cg11435943	SERPINB12	TSS1500	Promoter
cg11438428	PTF1A	1stExon	Promoter
cg11438755	TMEM20	TSS200	Promoter
cg11442050	EIF4ENIF1	TSS1500	Promoter
cg11442717	PHF10	TSS1500	Promoter
cg11443787	MLLT10	TSS1500	Promoter
cg11449935	TGIF2	5'UTR	Promoter
cg11450001	GABARAPL1	1stExon;5'UTR	Promoter
cg11450827	CLDN5	TSS200	Promoter
cg11451801	PSMB10	TSS200	Promoter
cg11452221	GEFT	Body;TSS1500	Promoter
cg11453347	BCCIP;UROS	TSS1500;1stExon	Promoter
cg11454415	TOMM34	Body	Body
cg11455040	SLC45A3	TSS1500	Promoter
cg11456838	OSTCL	TSS200	Promoter
cg11458642	ATR	Body	Body
cg11458974	HMOX1	TSS1500	Promoter
cg11459714	KLK10	Body	Body
cg11460029	EFNB3	1stExon;5'UTR	Promoter
cg11460364	DPP4	TSS1500	Promoter
cg11462533	HPCAL4	5'UTR	Promoter
cg11462865	KRT19	1stExon	Promoter
cg11465372	KRT76	TSS200	Promoter
cg11466837	TRIM29	TSS1500	Promoter
cg11466908	AUH	Body	Body
cg11467738	ARPC1B	5'UTR	Promoter
cg11468462	NXPH4	1stExon;5'UTR	Promoter
cg11468711	ZNF710	5'UTR	Promoter
cg11469778	ARHGEF4	TSS200	Promoter
cg11471401	KRT6A	TSS1500	Promoter
cg11471666	EIF4B	Body	Body
cg11472424	PFKFB1	1stExon;5'UTR	Promoter
cg11473104	NUDT15	TSS200	Promoter
cg11474075	TTC5	Body	Body
cg11474811	TRPM5	Body	Body
cg11475332	SDC1	TSS1500;TSS200	Promoter
cg11476211	PRKCE	1stExon	Promoter
cg11476254	ACSF3	TSS1500	Promoter
cg11479591	MECP2	Body;5'UTR	Promoter
cg11480873	RAB7L1	1stExon;5'UTR	Promoter
cg11481351	FNDC7	Body	Body
cg11481490	SNRPA;C19orf54	TSS1500;TSS200	Promoter
cg11481720	ZNF791;ZNF490	TSS1500;1stExon	Promoter
cg11481793	ZNF362	5'UTR	Promoter
cg11483915	SLC40A1	TSS1500	Promoter
cg11484576	LGALS12	TSS1500	Promoter
cg11485602	PDHB	Body	Body
cg11487705	OXCT1	1stExon;5'UTR	Promoter
cg11489580	G3BP2	TSS1500;TSS200	Promoter
cg11490446	PSEN1	TSS1500	Promoter
cg11492040	H19	Body	Body
cg11492403	AARSD1;RUNDC1	Body;TSS1500	Promoter
cg11494656	ARR3	TSS1500	Promoter
cg11494699	RAG1	TSS1500	Promoter
cg11498188	HECA	TSS1500	Promoter
cg11498740	C14orf109;MOAP1	TSS1500;5'UTR	Promoter
cg11500727	CNFN	1stExon;5'UTR	Promoter
cg11500797	DLX5	Body	Body
cg11502800	ZNF565;ZNF146	TSS1500;1stExon;5'UTR	Promoter
cg11503744	RUSC1;C1orf104	Body;1stExon;5'UTR;TSS200	Promoter
cg11504646	RTP1	TSS1500	Promoter
cg11504740	GPR152	1stExon	Promoter
cg11504897	NRN1	1stExon;5'UTR	Promoter
cg11505048	RGL1;APOBEC4	TSS1500;5'UTR	Promoter
cg11507178	BCL9L	1stExon;5'UTR	Promoter
cg11510269	RSRC2;KNTC1	TSS1500;TSS200	Promoter
cg11510839	OCA2	TSS200	Promoter
cg11511443	LMO3	TSS1500	Promoter
cg11512771	TARS2;ECM1	Body;TSS1500	Promoter
cg11513856	RABL5	TSS1500	Promoter
cg11516377	DPH1	TSS1500	Promoter
cg11516606	TDRD7	5'UTR	Promoter
cg11518240	FKBP4	TSS1500	Promoter
cg11521325	CCDC114	Body	Body
cg11521965	PTN	TSS200	Promoter
cg11523020	UPK3A	Body	Body
cg11526405	SH3GLB2	TSS1500	Promoter
cg11528101	MRPS24	Body	Body
cg11528666	C4orf29;MFSD8	Body;TSS1500	Promoter
cg11529128	LHFPL5	TSS200	Promoter
cg11530960	DMRT2	Body	Body
cg11532513	LRTM1;CACNA2D3	Body;TSS200	Promoter
cg11536940	PGCP	5'UTR	Promoter
cg11538128	ZNF354C	TSS200	Promoter
cg11539173	GNB1L;C22orf29	TSS1500	Promoter
cg11540692	SIM1	TSS1500	Promoter
cg11540997	DUOXA2;DUOX2	Body;TSS1500	Promoter
cg11541187	C6orf182;SESN1	TSS1500	Promoter
cg11542231	RPA2	1stExon;5'UTR	Promoter
cg11546621	PTGDS	Body	Body
cg11547724	HPX	TSS200	Promoter
cg11550426	SDCBP	TSS200	Promoter
cg11552293	COL4A6;COL4A5	Body;TSS1500	Promoter
cg11553177	SUPT6H;SDF2	TSS1500;1stExon	Promoter
cg11554507	NEUROD6	TSS200	Promoter
cg11554605	ASB4	1stExon	Promoter
cg11554937	HSD17B3	1stExon	Promoter
cg11558474	TMEM2	5'UTR	Promoter
cg11560403	TMEM81	1stExon;5'UTR	Promoter
cg11563860	CNTN4	TSS1500	Promoter
cg11564670	MC2R	5'UTR	Promoter
cg11565248	RPS6KA3	Body	Body
cg11566199	GALNT6	5'UTR	Promoter
cg11566244	GSTP1	Body	Body
cg11566939	C17orf81;DULLARD	TSS1500;TSS200;5'UTR;1stExon	Promoter
cg11572744	DPYSL3	Body	Body
cg11574612	CYP39A1;SLC25A27	1stExon;TSS200;5'UTR	Promoter
cg11574758	PLK1S1	Body;5'UTR	Promoter
cg11579069	MYB	Body	Body
cg11582100	GAD1	1stExon;5'UTR	Promoter
cg11584111	PIGC;C1orf105	Body;5'UTR	Promoter
cg11584936	BNIPL	Body;5'UTR	Promoter
cg11585425	ACTR2	TSS1500	Promoter
cg11590700	MECOM	1stExon;5'UTR	Promoter
cg11591325	F2R	Body	Body
cg11592951	SRRT	1stExon;5'UTR	Promoter
cg11593656	COMMD6	TSS200	Promoter
cg11594415	BAT2L2	1stExon;5'UTR	Promoter
cg11595245	HELLS	TSS200	Promoter
cg11595749	ATP5E	TSS200	Promoter
cg11595794	ANKRD37	TSS1500	Promoter
cg11598929	FAAH2	TSS200	Promoter
cg11599505	VSTM2L	Body	Body
cg11601662	FKBP14	1stExon;5'UTR	Promoter
cg11603096	EIF3D	TSS200	Promoter
cg11608114	LOC338799;SETD1B	Body;TSS1500	Promoter
cg11609154	C7orf55	1stExon;5'UTR	Promoter
cg11609344	YKT6	Body	Body
cg11609366	RPL8	TSS1500	Promoter
cg11609760	FGD1	1stExon;5'UTR	Promoter
cg11611600	ADAMTSL3	5'UTR	Promoter
cg11612291	ZNF35	5'UTR	Promoter
cg11612345	SMOC2	Body	Body
cg11613875	C9orf72	TSS1500;TSS200	Promoter
cg11614809	NDP	5'UTR	Promoter
cg11617144	GPT	1stExon	Promoter
cg11618577	KRTCAP3	Body	Body
cg11619390	ZBTB8B	5'UTR	Promoter
cg11620807	IRS1	TSS1500	Promoter
cg11620873	CD9	TSS200	Promoter
cg11625178	LOC100128191;TMPO	Body;1stExon;5'UTR;TSS200	Promoter
cg11625451	GAN	Body	Body
cg11625946	LRIG3	TSS1500;TSS200	Promoter
cg11626656	RND3	Body	Body
cg11626791	TLK1	Body;5'UTR	Promoter
cg11628026	ACTL7A	1stExon	Promoter
cg11628034	RPS16	TSS1500	Promoter
cg11628282	MFN1	5'UTR	Promoter
cg11628487	SET	Body;TSS1500	Promoter
cg11630242	AKAP10	TSS1500	Promoter
cg11630392	GPR171;MED12L	Body;1stExon;5'UTR	Promoter
cg11631275	SDAD1	Body	Body
cg11631518	KCNC2	TSS200	Promoter
cg11632617	PPCDC	TSS200	Promoter
cg11634198	NEUROD2	1stExon;5'UTR	Promoter
cg11635563	ENOX1	5'UTR	Promoter
cg11638200	PRKCQ	5'UTR	Promoter
cg11638880	SFT2D1	TSS200	Promoter
cg11639397	VASP	1stExon;5'UTR	Promoter
cg11639651	HKDC1	TSS1500	Promoter
cg11640565	STS	Body	Body
cg11644586	CCDC87;CCS	TSS1500;1stExon	Promoter
cg11646704	IPO4	TSS200	Promoter
cg11646757	C7orf68	TSS200	Promoter
cg11646887	SCRN2	TSS200	Promoter
cg11647681	PCDHGA8;PCDHGA10;PCDHGA11;PCDHGA12;PCDHGB3;PCDHGB2;PCDHGB1;PCDHGA9;PCDHGB7;PCDHGB6;PCDHGB5;PCDHGB4;PCDHGA2;PCDHGA3;PCDHGA1;PCDHGA6;PCDHGA7;PCDHGA4;PCDHGA5	Body;1stExon;5'UTR	Promoter
cg11648289	EN2	TSS1500	Promoter
cg11648471	MOSPD2;FANCB	TSS1500;5'UTR	Promoter
cg11648996	FAM47B	TSS200	Promoter
cg11649001	FTSJD2	TSS200	Promoter
cg11649654	ERCC8;NDUFAF2	TSS200	Promoter
cg11649825	C20orf4	1stExon;5'UTR	Promoter
cg11649846	STRA8	Body	Body
cg11651717	ABCA5	1stExon;5'UTR	Promoter
cg11653266	MRPL38	TSS200	Promoter
cg11653271	SNRNP25;POLR3K	TSS200	Promoter
cg11653466	C8orf86	TSS200	Promoter
cg11653500	SPRY2	1stExon;5'UTR	Promoter
cg11653858	SLC13A2	TSS1500	Promoter
cg11653864	ELK1	1stExon;5'UTR	Promoter
cg11654333	DCK	Body	Body
cg11654620	TYMP;ODF3B	Body;TSS1500	Promoter
cg11654737	BCKDHB	TSS1500	Promoter
cg11655418	RPS10	TSS200	Promoter
cg11655691	CBARA1	1stExon;5'UTR	Promoter
cg11656547	MAMDC2	1stExon;5'UTR	Promoter
cg11659747	SCARB2	1stExon	Promoter
cg11661234	RLIM	TSS200	Promoter
cg11662098	GOPC	TSS200	Promoter
cg11664825	XKRX	TSS1500	Promoter
cg11665562	PSMC1	Body	Body
cg11665588	SESN3	1stExon	Promoter
cg11666924	STXBP3	TSS1500	Promoter
cg11667117	CA5A	1stExon	Promoter
cg11667754	CDH1	TSS1500	Promoter
cg11668512	ZHX3	TSS1500	Promoter
cg11668844	MCF2L	Body	Body
cg11668923	ADAM12	1stExon;5'UTR	Promoter
cg11670211	NOX4	Body;5'UTR	Promoter
cg11672225	RNF185	Body;1stExon;5'UTR	Promoter
cg11673092	ARMC3	TSS1500	Promoter
cg11673969	EPHB4	1stExon;5'UTR	Promoter
cg11675413	RNF113B;FARP1	1stExon;5'UTR	Promoter
cg11676109	HINFP	5'UTR	Promoter
cg11676599	PLEKHA1	TSS1500	Promoter
cg11677722	MED29;PAF1	Body;TSS1500	Promoter
cg11678767	COL4A6;COL4A5	TSS1500;TSS200	Promoter
cg11679069	DNAJC15	TSS1500	Promoter
cg11680158	TTC39B	TSS200	Promoter
cg11680236	NME6	Body	Body
cg11681617	GAB3	TSS1500	Promoter
cg11682508	C20orf166;C20orf200	TSS1500;5'UTR	Promoter
cg11688219	THAP3	TSS1500	Promoter
cg11688469	TNNI1	TSS200	Promoter
cg11691938	CASP3;CCDC111	TSS1500;5'UTR	Promoter
cg11692021	GNB3	1stExon;5'UTR	Promoter
cg11692477	SLC40A1	1stExon;5'UTR	Promoter
cg11693019	AKR1B10	TSS1500	Promoter
cg11694641	SLC25A3	Body	Body
cg11695266	DNAJB6	TSS1500	Promoter
cg11695358	MAPK15	TSS1500	Promoter
cg11695601	CHN1	TSS1500	Promoter
cg11695684	CHRND	Body	Body
cg11696575	ING3	Body	Body
cg11698762	WDR54	5'UTR	Promoter
